X,WC_1.faa,WC_10.faa,WC_11.faa,WC_12.faa,WC_13.faa,WC_14.faa,WC_15.faa,WC_16.faa,WC_17.faa,WC_18.faa,WC_19.faa,WC_2.faa,WC_20.faa,WC_21.faa,WC_23.faa,WC_25.faa,WC_26.faa,WC_27.faa,WC_28.faa,WC_29.faa,WC_3.faa,WC_31.faa,WC_33.faa,WC_34.faa,WC_35.faa,WC_36.faa,WC_38.faa,WC_39.faa,WC_4.faa,WC_40.faa,WC_41.faa,WC_42.faa,WC_43.faa,WC_44.faa,WC_45.faa,WC_46.faa,WC_48.faa,WC_49.faa,WC_5.faa,WC_50.faa,WC_52.faa,WC_54.faa,WC_55.faa,WC_56.faa,WC_58.faa,WC_59.faa,WC_6.faa,WC_60.faa,WC_7.faa,WC_8.faa,WC_9.faa,
iron_aquisition-iron_transport,5,3,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,2,0,
iron_aquisition-heme_transport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-heme_oxygenase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_synthesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_aquisition-siderophore_transport_potential,4,18,0,0,0,0,0,4,2,0,0,0,11,0,0,0,0,6,0,4,11,8,4,0,0,2,0,0,20,0,0,0,0,0,2,0,0,0,6,2,0,0,5,2,2,2,8,0,0,2,2,
iron_gene_regulation,4,1,1,4,1,1,1,4,4,1,2,4,19,1,2,3,3,4,2,2,20,0,1,2,2,2,1,1,1,1,0,3,1,2,3,1,2,1,8,0,1,1,2,1,0,0,0,4,5,0,6,
iron_oxidation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
possible_iron_oxidation_and_possible_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
probable_iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_reduction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron_storage,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,
magnetosome_formation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
